Date,Open,High,Low,Close,Adjusted_close,Volume
2025-11-24 00:00:00+01:00,138.1,139,137.65,137.95,137.95,2410205
2025-11-25 00:00:00+01:00,138.3,142.7,138.05,142.05,142.05,3179987
2025-11-26 00:00:00+01:00,143.35,143.35,140.7,141.1,141.1,1428043
2025-11-27 00:00:00+01:00,141.1,143.25,141,143.2,143.2,1680293
2025-11-28 00:00:00+01:00,143.2,145.15,142.75,144.3,144.3,1966327
2025-12-01 00:00:00+01:00,143.85,146.65,143.15,145,145,1676985
2025-12-02 00:00:00+01:00,145.1,145.3,144.15,144.55,144.55,1184564
2025-12-03 00:00:00+01:00,144.55,146.7,144.55,146.25,146.25,1184937
2025-12-04 00:00:00+01:00,151,153.1,148.9,151.5,151.5,2088389
2025-12-05 00:00:00+01:00,152.1,152.55,150.75,151.45,151.45,1310334
2025-12-08 00:00:00+01:00,151.9,153.95,151.65,152.5,152.5,1466757
2025-12-09 00:00:00+01:00,152.25,152.4,150.05,150.5,150.5,1123465
2025-12-10 00:00:00+01:00,150.45,150.7,148.65,149.85,149.85,956348
2025-12-11 00:00:00+01:00,150.5,150.7,148.55,149.7,149.7,860770
2025-12-12 00:00:00+01:00,150,151.9,149.5,150,150,996866
2025-12-15 00:00:00+01:00,149.65,150.1,148.2,148.55,148.55,1980778
2025-12-16 00:00:00+01:00,147.7,148.25,146.15,146.7,146.7,1519931
2025-12-17 00:00:00+01:00,147,147.2,143.35,143.95,143.95,1179235
2025-12-18 00:00:00+01:00,143.5,147.35,143.1,147.15,147.15,1312069
2025-12-19 00:00:00+01:00,147.2,147.85,146.55,147.2,147.2,1808530
2025-12-22 00:00:00+01:00,147.55,148.75,147.05,147.9,147.9,694994
2025-12-23 00:00:00+01:00,147.7,148.5,147.25,147.75,147.75,660326
2025-12-29 00:00:00+01:00,148,148.7,147.35,148.65,148.65,976948
2025-12-30 00:00:00+01:00,148,149.7,147.5,149,149,1097237
2026-01-02 00:00:00+01:00,149.25,149.8,148,149.55,149.55,1383381
2026-01-05 00:00:00+01:00,149.95,153.9,149.95,152.7,152.7,1026251
2026-01-07 00:00:00+01:00,161.75,163,157.55,159.2,159.2,2737010
2026-01-08 00:00:00+01:00,159,159,155.7,156.1,156.1,1020599
2026-01-09 00:00:00+01:00,156.25,158,155.6,157.6,157.6,1091857
2026-01-12 00:00:00+01:00,159,161.6,159,159.6,159.6,1920994
2026-01-13 00:00:00+01:00,161,161.05,157.95,158.5,158.5,2663879
2026-01-14 00:00:00+01:00,159,159.35,155.9,156.65,156.65,2459661
2026-01-15 00:00:00+01:00,160.95,164.2,160.8,164.2,164.2,4097702
2026-01-16 00:00:00+01:00,166,167.4,164,166.9,166.9,2371685
2026-01-19 00:00:00+01:00,162.9,163.9,161.5,163.2,163.2,2345652
2026-01-20 00:00:00+01:00,161.35,164.65,160,164.65,164.65,1694459
2026-01-21 00:00:00+01:00,163.75,165.55,162.6,165.55,165.55,1679085
2026-01-22 00:00:00+01:00,168,169.3,166.9,166.95,166.95,1984381
