Date,Open,High,Low,Close,Adjusted_close,Volume
2025-11-24 00:00:00+01:00,435.9,437.7,431.2,432.4,432.4,1303917
2025-11-25 00:00:00+01:00,432.5,442.4,432.5,441.2,441.2,666812
2025-11-26 00:00:00+01:00,443.9,445.9,441,441.7,441.7,670795
2025-11-27 00:00:00+01:00,442.7,446.2,442.3,444,444,402737
2025-11-28 00:00:00+01:00,443.9,448.4,443.6,445.7,445.7,707011
2025-12-01 00:00:00+01:00,445,446.9,442.3,445.8,445.8,324654
2025-12-02 00:00:00+01:00,446.5,446.5,443,444.8,444.8,417561
2025-12-03 00:00:00+01:00,446.5,451,446.1,449.3,449.3,768132
2025-12-04 00:00:00+01:00,459.8,467.9,455.7,467.4,467.4,721209
2025-12-05 00:00:00+01:00,469.6,469.6,464.8,465.4,465.4,411255
2025-12-08 00:00:00+01:00,465.5,466.9,460.8,463.2,463.2,374431
2025-12-09 00:00:00+01:00,463,463.9,456.1,458.7,458.7,542535
2025-12-10 00:00:00+01:00,458,462.2,455.6,461.3,461.3,652176
2025-12-11 00:00:00+01:00,463.5,465.6,460.9,463,463,319055
2025-12-12 00:00:00+01:00,465.4,469.5,460.6,460.7,460.7,593406
2025-12-15 00:00:00+01:00,461.7,463.5,459.3,460.4,460.4,609521
2025-12-16 00:00:00+01:00,458.7,460.6,457.1,458.4,458.4,681604
2025-12-17 00:00:00+01:00,458.4,460.5,448.8,448.8,448.8,680196
2025-12-18 00:00:00+01:00,448.8,456.8,447.6,456.7,456.7,616570
2025-12-19 00:00:00+01:00,456.5,461.6,456.5,460.6,460.6,834570
2025-12-22 00:00:00+01:00,460.6,461.6,458,461.5,461.5,324943
2025-12-23 00:00:00+01:00,461.5,462.8,459.9,461.4,461.4,299296
2025-12-29 00:00:00+01:00,462.2,466,460.1,464.2,464.2,263553
2025-12-30 00:00:00+01:00,464.2,468.3,462.7,465.7,465.7,389371
2026-01-02 00:00:00+01:00,465.5,469.8,464.1,468.4,468.4,425111
2026-01-05 00:00:00+01:00,468.8,474.8,468.1,472,472,415069
2026-01-07 00:00:00+01:00,482,485,473.7,484.6,484.6,677889
2026-01-08 00:00:00+01:00,482.6,482.6,475.1,478.4,478.4,573560
2026-01-09 00:00:00+01:00,480,492.7,479.5,492.3,492.3,794915
2026-01-12 00:00:00+01:00,492.6,496.2,489.5,494.3,494.3,534523
2026-01-13 00:00:00+01:00,496,496.2,488.6,493.2,493.2,545242
2026-01-14 00:00:00+01:00,496,504.2,496,498.5,498.5,920410
2026-01-15 00:00:00+01:00,500.6,509.6,500.6,508.6,508.6,696769
2026-01-16 00:00:00+01:00,508.6,509.4,504.4,507.4,507.4,636833
2026-01-19 00:00:00+01:00,499.4,499.4,491.2,494.1,494.1,633095
2026-01-20 00:00:00+01:00,491.4,498,489.7,497.1,497.1,603239
2026-01-21 00:00:00+01:00,494.8,500,492.9,500,500,440484
2026-01-22 00:00:00+01:00,505,514,503.4,509.6,509.6,869739
2026-01-23 00:00:00+01:00,510,510,504,506.4,506.4,963667
2026-01-26 00:00:00+01:00,506,514,503.2,514,514,607848
2026-01-27 00:00:00+01:00,514,515.8,511,512.2,512.2,440913
2026-01-28 00:00:00+01:00,513.2,513.4,506.2,507,507,593142
2026-01-29 00:00:00+01:00,510.2,524.6,508,514,514,885421
2026-01-30 00:00:00+01:00,513,519.6,510,517.4,517.4,735376
2026-02-02 00:00:00+01:00,515,530,509.4,527.8,527.8,1176845
2026-02-03 00:00:00+01:00,508,524.2,500.8,505.4,505.4,2002218
2026-02-04 00:00:00+01:00,506.6,516.4,505,509.4,509.4,970895
2026-02-05 00:00:00+01:00,508.2,513.8,502.6,506.6,506.6,598961
2026-02-06 00:00:00+01:00,506.6,512.4,502.6,510.4,510.4,415753
2026-02-09 00:00:00+01:00,512,512.4,506,510.4,510.4,473251
2026-02-10 00:00:00+01:00,512,515.6,509.8,509.8,509.8,565063
2026-02-11 00:00:00+01:00,509.8,520.8,508.2,514.2,514.2,688911
2026-02-12 00:00:00+01:00,517,519.4,509.8,510.2,510.2,530575
2026-02-13 00:00:00+01:00,510.2,510.4,505.6,509.2,509.2,417362
2026-02-16 00:00:00+01:00,509.8,515.4,509.2,512.2,512.2,487189
2026-02-17 00:00:00+01:00,512.2,516.4,506.8,516.4,516.4,633234
2026-02-18 00:00:00+01:00,516.4,524,516.2,521.8,521.8,404985
2026-02-19 00:00:00+01:00,522.6,522.8,518,521,521,414795
2026-02-20 00:00:00+01:00,523.4,525.4,518.8,522.2,522.2,363016
2026-02-23 00:00:00+01:00,522.4,528.6,518.2,528.6,528.6,485295
2026-02-24 00:00:00+01:00,529,536.6,529,535,535,572702
2026-02-25 00:00:00+01:00,535.4,538.8,527.6,530.2,530.2,608596
2026-02-26 00:00:00+01:00,529.8,536.6,528.6,531,531,502931
2026-02-27 00:00:00+01:00,532.8,537,530.8,535,535,817525
2026-03-02 00:00:00+01:00,525,536.8,521.4,534.6,534.6,873776
2026-03-03 00:00:00+01:00,527.2,528,514.8,519,519,649337
2026-03-04 00:00:00+01:00,518,524.4,514.8,520.2,520.2,902327
2026-03-05 00:00:00+01:00,525.4,530.4,521,522,522,1016792
2026-03-06 00:00:00+01:00,524.8,527.4,510.6,513.2,513.2,1024577
2026-03-09 00:00:00+01:00,496.2,509.8,495.5,506,506,783438
2026-03-10 00:00:00+01:00,518,525,515.4,521.6,521.6,823341
2026-03-11 00:00:00+01:00,521,521.8,514.4,519.4,519.4,466183
2026-03-12 00:00:00+01:00,520.2,532.2,518.4,531.6,531.6,680740
2026-03-13 00:00:00+01:00,531.4,533.8,521.6,524.4,524.4,858890
2026-03-16 00:00:00+01:00,525.6,527,517,521,521,449330
2026-03-17 00:00:00+01:00,520.8,524.6,516.6,522.6,522.6,430125
2026-03-18 00:00:00+01:00,527.8,537.6,526,527.6,527.6,577504
2026-03-19 00:00:00+01:00,519,521.6,510,515.8,515.8,694435
2026-03-20 00:00:00+01:00,520.2,521,505,506.2,506.2,994122
2026-03-23 00:00:00+01:00,493.5,516.8,489.7,508.8,508.8,852873
2026-03-24 00:00:00+01:00,510.2,511.8,502,511,511,702361
2026-03-25 00:00:00+01:00,518.6,522.4,517,520.6,520.6,523849
2026-03-26 00:00:00+01:00,518.8,520.8,514,516,516,469363
2026-03-27 00:00:00+01:00,516,517.2,501.8,502.4,502.4,551354
2026-03-30 00:00:00+01:00,502.6,509.6,502.2,503.2,503.2,905334
2026-03-31 00:00:00+01:00,503,510.2,498.4,507.8,507.8,971779
2026-04-01 00:00:00+01:00,521,524.4,515.6,522.8,522.8,803406
2026-04-02 00:00:00+01:00,512,516.4,510.8,513.6,513.6,335712
2026-04-07 00:00:00+01:00,520,529.6,517.2,524,524,800128
2026-04-08 00:00:00+01:00,547.8,550,535.4,544.4,544.4,869116
2026-04-09 00:00:00+01:00,542,542,533.6,541.4,541.4,590897
2026-04-10 00:00:00+01:00,544.4,552.4,543.6,548.4,548.4,812683
2026-04-13 00:00:00+01:00,545.2,556.2,544.4,553.4,553.4,787585
2026-04-14 00:00:00+01:00,558.2,559.2,554,557.4,557.4,548763
